,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
868,365,블레이드 러너 2049,드니 빌뇌브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,10,미국,664,321018,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=블레이드 러너 2049%09&section=all&ie=utf8,7.97,라이언고슬링,해리슨포드,
869,518,맨 인 더 다크,페드 알바레즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,10,미국,671,999047,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=맨 인 더 다크%09&section=all&ie=utf8,7.97,,,
870,796,키즈모노가타리 I : 철혈편,신보 아키유키,,(주)애니플러스,(주)박수엔터테인먼트,2016-06-30,6,일본,74,24492,애니메이션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=키즈모노가타리 I : 철혈편%09&section=all&ie=utf8,7.97,카미야히로시,사카모토마아야,호리에유이
871,1146,보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스,2017-03-23,3,한국,621,383336,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=보통사람%09&section=all&ie=utf8,7.97,손현주,장혁,
872,1461,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스",,씨제이이앤엠(주),2013-08-01,8,한국,1128,8914845,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=설국열차%09&section=all&ie=utf8,7.97,크리스에반스,송강호,에드해리스
873,1462,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,9,한국,1190,9134586,사극,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=관상%09&section=all&ie=utf8,7.97,송강호,이정재,백윤식
874,77,머신건 프리처,마크 포스터,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2012-05-24,5,미국,141,26640,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=머신건 프리처%09&section=all&ie=utf8,7.98,제라드버틀러,미셸모나한,
875,726,마릴린 먼로와 함께한 일주일,사이먼 커티스,,데이지엔터테인먼트,(주)싸이더스,2012-02-29,2,영국,81,19387,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=마릴린 먼로와 함께한 일주일%09&section=all&ie=utf8,7.98,미셸윌리엄스,에디레드메인,
876,1457,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,12,한국,1009,7759473,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=히말라야%09&section=all&ie=utf8,7.98,황정민,정우,
877,337,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,2,미국,423,266389,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=백 투 더 비기닝%09&section=all&ie=utf8,7.99,소피아블랙디엘리아,버지니아가드너,조니웨스턴
878,440,스텝 업: 올 인,트리시 시에,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-09-03,9,미국,325,560620,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스텝 업: 올 인%09&section=all&ie=utf8,7.99,알리슨스토너,브리아나에비건,이자벨라미코
