,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
29,이클립스,데이빗 슬레이드,서미트 엔터티인먼트,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2010-07-07,미국,535,2105050,판타지,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=이클립스%09&section=all&ie=utf8,7.39,  애니메이션   싱가포르  미국 분     감독   제롤드 총   애니메이션   러시아 연방 분     감독   아나 세필로바   애니메이션   벨기에 분     감독   재키 데 그로엔   모험  다큐멘터리   미국 분     감독   안토니 보넬로   판타지  멜로로맨스  스릴러   미국 분     감독   데이빗 슬레이드 출연   크리스틴 스튜어트  로버트 패틴슨  테일러 로트너  남   관련영화   눈에는 눈 이에는 이  마케팅부문  울학교 이티  마케팅부문  비스티 보이즈  마케팅부문  소재지역   대한민국   이 영화사의 최근작품   사일런트 힐  배역명   이클립스영화명   탈옥   감독   존 플린
30,이상한 나라의 앨리스,팀 버튼,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-03-04,미국,401,2182365,판타지,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=이상한 나라의 앨리스%09&section=all&ie=utf8,7.53,  공연실황   영국 분     감독   크리스토퍼 휠든   판타지  모험  가족   미국 분     감독   팀 버튼 출연   조니 뎁  앤 해서웨이  헬레나 본햄 카터  크리스핀 글로버  미아 와시코브스카   영국 분     출연   피오나 풀러튼  마이클 크로포드   애니메이션   미국 분     감독   클라이드 제로니미  해밀턴 러스크  윌프레드 잭슨 출연   캐스린 보몽  에드 윈  리처드 헤이든  스테링 할러웨이  제리 콜로너  버나 펠턴   판타지  액션  가족   미국 분     감독   달라스 바워드 출연   펠릭스 아일머  데이빗 리드
31,배틀쉽,피터 버그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-04-11,미국,736,2241687,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=배틀쉽%09&section=all&ie=utf8,7.45,     미국 분     감독   마이클 밀러   액션  전쟁     미국 분     감독   피터 버그 출연   테일러 키취  리암 니슨  리아나  브룩클린 데커  알렉산더 스카스가드   액션  스릴러   미국 분     감독   썬더 레빈 출연   마리오 반 피블스  칼 웨더스  니키 맥컬리  조한나 왓츠      미국 분     감독   앤드류 벨웨어 출연   마이클 섀트너  레베카 쿠시  앤드류  랭턴     액션  모험  드라마   일본 분     감독   야마자키 다카시 출연   기무라 타쿠야  쿠로키 메이사
32,나잇&데이,제임스 맨골드,"뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크",이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-24,미국,501,2282191,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=나잇&데이%09&section=all&ie=utf8,8.36,  드라마   미국     감독   루이스 산 안드레스 출연   가브리엘 월쉬  조시 페레즈   액션  코미디   미국 분     감독   제임스 맨골드 출연   톰 크루즈  카메론 디아즈   멜로로맨스  드라마   미국  프랑스 분     감독   마시 태지딘 출연   키이라 나이틀리  샘 워싱턴   코미디   한국 분     감독   김상진 출연   김동욱  임원희  손호준  윤제문  류현경   범죄  드라마  스릴러   미국 분     감독   제임스 그레이 출연   마크 월버그  호아킨 피닉스  여   출생년도    관련영화   바바둑  레드 독  배틀스타 갈락티카 더 플랜  남   관련영화   초능력자 제레미  샘역  펄스 칼라  엄브웨키의 모험  남   관련영화   디 웨이 위 겟 바이     관련영화   인사이드 보이시스  감독각본  배역명   리사 원 나잇 스탠딩영화명   심연   감독   제임스 카메론  배역명   닥터 스탠 나잇영화명   러브  드럭스   감독   에드워드 즈윅
33,타이탄,루이스 리테리어,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-04-01,미국,694,2685508,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=타이탄%09&section=all&ie=utf8,6.31,  드라마   독일 분     감독   요하네스 프레제   판타지  액션  모험  드라마   영국  미국 분     감독   루이스 리터리어 출연   샘 워싱턴  리암 니슨  랄프 파인즈  알렉사 다바로스  젬마 아터튼   가족  드라마   미국 분     감독   보아즈 야킨 출연   덴젤 워싱턴   액션  판타지   미국 분     감독   조나단 리브스만 출연   샘 워싱턴  리암 니슨  랄프 파인즈  로자먼드 파이크  대니 휴스턴   애니메이션  모험  전쟁    가족   미국 분     감독   돈 블루스  게리 골드먼  아트 비텔로 출연   맷 데이먼  드류 베리모어  빌 풀만  네이단 레인  톤 로크  짐 브리어  배역명   타이탄 목소리영화명   메가마인드   감독   톰 맥그라스  배역명   타이탄 목소리영화명   스페이스 침스  자톡의 역습    감독   존  윌리엄스  배역명   타이탄 목소리영화명   스페이스 침스   감독   커크 드 미코  배역명   닥터 타이탄영화명   패치 아담스   감독   톰 새디악  배역명   타이탄 한국어 더빙영화명   스페이스 침스  자톡의 역습    감독   존  윌리엄스
34,메이즈 러너,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-09-18,미국,648,2812427,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=메이즈 러너%09&section=all&ie=utf8,7.87,  미국 분     감독   마크 포스트만   액션    스릴러   미국 분     감독   웨스 볼 출연   딜런 오브라이언  토마스 생스터  이기홍  카야 스코델라리오   액션  미스터리    스릴러   미국 분     감독   웨스 볼 출연   윌 폴터  토마스 생스터  딜런 오브라이언  카야 스코델라리오  이기홍   액션    스릴러   미국 분     감독   웨스 볼 출연   딜런 오브라이언  토마스 생스터  카야 스코델라리오  이기홍
35,솔트,필립 노이스,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,미국,556,2921331,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=솔트%09&section=all&ie=utf8,7.71,  드라마   브라질 분     감독   디에고 프레이타스   드라마  서부   칠레  아르헨티나 분     감독   디에고 로지에 출연   펠레 마르티네즈  곤잘로 발렌주에라  자비에라 콘타도르   액션  스릴러   미국 분     감독   필립 노이스 출연   안젤리나 졸리   미국     감독   케이스 파머 출연   완다 콜론  다니엘 파빌리  코트니 호프  브렌던 브랜트   미국  아일랜드 분     감독   브래들리 러스트 그레이  남   출생년도    관련영화   밤의 미녀  미드나잇 카우보이  귀향  각본  부서진 세월  각본  형사 서피코  각본  남   출생년도    관련영화   첫사랑  각본원안  러브리 투 룩 앳  원작  고독한 영혼  각본  남   출생년도    관련영화   레드 히트  상속녀  대결  남   출생년도    관련영화   더 카메라머더러  아트디렉터  악몽의 세월  미술  남   출생년도    관련영화   펑크  글래디에이터  전설의 검투사  배역명   베루카 솔트영화명   찰리와 초콜릿 공장   감독   팀 버튼  배역명   에블린 솔트영화명   솔트   감독   필립 노이스  배역명   조지나 솔트영화명   미스 컨셉션   감독   에릭 스타일스  배역명    솔트영화명   아웃브레이크   감독   볼프강 페터젠  배역명   솔트영화명   바이스   감독   라울 잉글리스
36,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,미국,496,3610642,코미디,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=인턴%09&section=all&ie=utf8,8.98,  드라마  코미디  판타지   일본 분     감독   요시다 아키오 출연   아라키 유코  오카모토 안리  스즈키 유우나  이즈미 하루   코미디   미국 분     감독   낸시 마이어스 출연   로버트 드 니로  앤 해서웨이   코미디   미국 분     감독   타니아 지 출연   토냐 레니 뱅크   드라마   미국     감독   마리사 실버 출연   아드리안 패스더  다이안 레인  잭 괄트니   다큐멘터리   미국 분     감독   크리스티나 와그너  조 크럼프  배역명   인턴 외 목소리영화명   빅풋 주니어   감독   제레미 드그루손  벤 스타센  배역명   인턴영화명   상류사회   감독   변혁  배역명   인턴 에이전트영화명   맨 인 블랙    감독   베리 소넨필드  배역명   인턴 릭영화명   드래프트 데이   감독   이반 라이트만  배역명   라디오방송국 인턴영화명   내가 죽기 전에 가장 듣고 싶은 말   감독   마크 펠링톤
37,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,696,5911890,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=레미제라블%09&section=all&ie=utf8,8.34,  드라마   프랑스 분     감독   래드 리   드라마   영국 분     감독   톰 후퍼 출연   휴 잭맨  앤 해서웨이  러셀 크로우  아만다 사이프리드  헬레나 본햄 카터  사챠 바론 코헨   한국 분     감독   김지룡 출연   강필선   범죄  드라마  멜로로맨스   미국  독일  영국 분     감독   빌 어거스트 출연   리암 니슨  제프리 러쉬  우마 서먼  클레어 데인즈   드라마   프랑스 분     감독   끌로드 를르슈 출연   쟝 뽈 벨몽도
38,레드라이트,로드리고 코르테스,,데이지엔터테인먼트,씨제이이앤엠(주),2012-08-23,스페인,197,49925,미스터리,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=레드라이트%09&section=all&ie=utf8,7.16,  드라마  코미디   불가리아  크로아티아 분     감독   토마 바샤로브   미스터리  스릴러   미국  스페인 분     감독   로드리고 코르테스 출연   로버트 드 니로  킬리언 머피  시고니 위버   범죄  다큐멘터리  미스터리  스릴러   프랑스 분     감독   세드릭 칸 출연   장 피에르 다루생  캐롤 부케   드라마   미국 분     감독   조지 마나토스 출연   리오 피츠패트릭  조지 캣  오눌 투켈   드라마   미국 분     감독   바스코 수
39,프라이버시,존 크로울리,,(주)스마일이엔티,(주)인벤트스톤,2014-03-20,영국,165,16936,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=프라이버시%09&section=all&ie=utf8,7.37,  한국     감독   하기호   범죄  드라마  미스터리  스릴러   영국  미국 분     감독   존 크로울리 출연   에릭 바나  레베카 홀  짐 브로드벤트   스릴러   미국 분     감독   요르그 이흘레 출연   존 쉐퍼드  지나 부쉬  클레이턴 마이어스  브랜튼 듀플레시   미국 분     감독   안소니 힉콕스 출연   밀리 아비탈  조나단 스캐치  나오미 캠벨   애니메이션  코미디   독일 분     감독   빈한 토
